# The updater's own output, recovered from the container that ran it (T4, round 2).
#
# `docker logs -t tortoise-mangosd` on container e716a18c5d8a -- created 2026-09-09T08:48:14Z by the
# reimport's own `compose up -d`, restarted 08:55:21Z for the channel press, exited 08:56:51Z and
# never recreated -- filtered to the `[DB Auto-Updater]` lines and the ready banner, nothing else
# changed. The file hashes are the updater's own (SHA1 of each file's bytes) and are not secrets.
# The install's generated database password does not occur anywhere in this container's log:
# `docker logs tortoise-mangosd | grep -c -F "$(cat .db_password)"` = 0, and no `…;3306;…` line
# exists in it either. So nothing here is redacted.
#
# TWO starts are in this file, and the timestamps separate them:
#   08:48-08:49  the reimport, against tw_world freshly imported from their base: 173 possible,
#                173 attempted, in name order, zero `failed to apply`.
#   08:55-08:56  the channel press restart: the same 173 possible, 0 attempted.
#
# `check-updater-order.sh` beside this file re-derives both claims from this transcript and from
# the file list inside the image, rather than asking anyone to count 173 lines by eye.
#
2026-09-09T08:48:26.890163891Z [DB Auto-Updater] Attempting to execute update 20260620152800_world, hash B7E1AB27B0E73E4A844AA08998B3DC3E485C98B2.
2026-09-09T08:48:26.894282533Z [DB Auto-Updater] Attempting to execute update 20260620224628_world, hash 4A9B5ED75446256EDEA919C97816B62E0DBCF713.
2026-09-09T08:48:26.904568758Z [DB Auto-Updater] Attempting to execute update 20260622203054_world, hash A6AA50F579F629415834A1C2AE53B35823B7B731.
2026-09-09T08:48:26.910714210Z [DB Auto-Updater] Attempting to execute update 20260624094237_world, hash DDAB7E182071DF7E2F9E3E26ABB93A9015030335.
2026-09-09T08:48:26.938973220Z [DB Auto-Updater] Attempting to execute update 20260625083947_world, hash B45A0F10371056FAD6251C856B1B0640D0FC18FE.
2026-09-09T08:48:26.956770345Z [DB Auto-Updater] Attempting to execute update 20260626153218_world, hash B6B517FF09CB71EF2539A6574F3CD38A6F8F3C86.
2026-09-09T08:48:26.965891873Z [DB Auto-Updater] Attempting to execute update 20260628192033_world, hash AB95761BB94B2D60FC39947DE6E07C7165E9E20C.
2026-09-09T08:48:26.978485640Z [DB Auto-Updater] Attempting to execute update 20260629195406_world, hash 3334200B0A07B6B0AFB1064CAAA0E70B538E1EA9.
2026-09-09T08:48:27.085083550Z [DB Auto-Updater] Attempting to execute update 20260630194548_world, hash B48D36F5FFD8D5909657A64ACEC6F50C7DBAD9A8.
2026-09-09T08:48:27.117302546Z [DB Auto-Updater] Attempting to execute update 20260701010422_world, hash C7CB277F16E06269A98C1530291EDB59C97722CF.
2026-09-09T08:48:27.156782005Z [DB Auto-Updater] Attempting to execute update 20260702115558_world, hash FAB7F3769E096DC13CECA4A5AB1591DE70257814.
2026-09-09T08:48:27.159389560Z [DB Auto-Updater] Attempting to execute update 20260702232910_world, hash 5C03239744B9220ADBA3F7848E45C8340B2DF74C.
2026-09-09T08:48:27.178869611Z [DB Auto-Updater] Attempting to execute update 20260706100617_world, hash 76E1610C18750EBBDEA1E66CAE32C737A6176394.
2026-09-09T08:48:27.247484128Z [DB Auto-Updater] Attempting to execute update 20260707174014_world, hash EA45DD5440E88EDABB30FBB472F7CA997006164C.
